host,ip,port,protocol,title,domain,country,city,link,org
https://121.175.118.75:11434,121.175.118.75,11434,https,403 Forbidden,,KR,Seongnam,https://121.175.118.75:11434,Korea Telecom
https://59.23.74.189:12136,59.23.74.189,12136,https,403 Forbidden,,KR,Seongnam,https://59.23.74.189:12136,Korea Telecom
https://222.108.221.31:12136,222.108.221.31,12136,https,403 Forbidden,,KR,Bucheon,https://222.108.221.31:12136,Korea Telecom
211.33.189.135:10030,211.33.189.135,10030,http,,,KR,Seongnam,http://211.33.189.135:10030,Korea Telecom
https://220.124.107.128:50000,220.124.107.128,50000,https,403 Forbidden,,KR,Seongnam,https://220.124.107.128:50000,Korea Telecom
121.150.119.145:12136,121.150.119.145,12136,http,,,KR,Seongnam,http://121.150.119.145:12136,Korea Telecom
https://220.118.240.198:12136,220.118.240.198,12136,https,403 Forbidden,,KR,Seongnam,https://220.118.240.198:12136,Korea Telecom
https://112.166.90.4:50001,112.166.90.4,50001,https,403 Forbidden,,KR,Seongnam,https://112.166.90.4:50001,Korea Telecom
https://183.105.151.175:12136,183.105.151.175,12136,https,403 Forbidden,,KR,Sinan,https://183.105.151.175:12136,Korea Telecom
https://221.156.234.100:12136,221.156.234.100,12136,https,403 Forbidden,,KR,Seongnam,https://221.156.234.100:12136,Korea Telecom
https://221.161.238.13:12135,221.161.238.13,12135,https,403 Forbidden,,KR,Seongnam,https://221.161.238.13:12135,Korea Telecom
https://121.189.106.45:12135,121.189.106.45,12135,https,403 Forbidden,,KR,Jeju,https://121.189.106.45:12135,Korea Telecom
211.185.55.229:12135,211.185.55.229,12135,http,,,KR,Seongnam,http://211.185.55.229:12135,Korea Telecom
https://168.126.210.143:12135,168.126.210.143,12135,https,403 Forbidden,,KR,Seongnam,https://168.126.210.143:12135,Korea Telecom
https://119.195.77.103:16922,119.195.77.103,16922,https,403 Forbidden,,KR,Seongnam,https://119.195.77.103:16922,Korea Telecom
59.17.201.242:10035,59.17.201.242,10035,http,,,KR,Seongnam,http://59.17.201.242:10035,Korea Telecom
https://59.14.38.123:12135,59.14.38.123,12135,https,403 Forbidden,,KR,Anyang,https://59.14.38.123:12135,Korea Telecom
https://183.98.8.11:12135,183.98.8.11,12135,https,403 Forbidden,,KR,Seongnam,https://183.98.8.11:12135,Korea Telecom
https://59.11.158.163:12134,59.11.158.163,12134,https,403 Forbidden,,KR,Seongnam,https://59.11.158.163:12134,Korea Telecom
https://121.152.76.68:12133,121.152.76.68,12133,https,403 Forbidden,,KR,Seongnam,https://121.152.76.68:12133,Korea Telecom
https://125.129.212.17:12134,125.129.212.17,12134,https,403 Forbidden,,KR,Seongnam,https://125.129.212.17:12134,Korea Telecom
https://121.161.151.18:12134,121.161.151.18,12134,https,403 Forbidden,,KR,Seongnam,https://121.161.151.18:12134,Korea Telecom
https://121.149.129.13:12134,121.149.129.13,12134,https,403 Forbidden,,KR,Seongnam,https://121.149.129.13:12134,Korea Telecom
https://121.149.208.174:12134,121.149.208.174,12134,https,403 Forbidden,,KR,Yeosu,https://121.149.208.174:12134,Korea Telecom
https://121.161.238.188:12134,121.161.238.188,12134,https,403 Forbidden,,KR,Seongnam,https://121.161.238.188:12134,Korea Telecom
https://175.193.219.253:12134,175.193.219.253,12134,https,403 Forbidden,,KR,Seongnam,https://175.193.219.253:12134,Korea Telecom
https://211.220.30.21:10035,211.220.30.21,10035,https,403 Forbidden,,KR,Seongnam,https://211.220.30.21:10035,Korea Telecom
https://211.199.65.186:12132,211.199.65.186,12132,https,403 Forbidden,,KR,Seongnam,https://211.199.65.186:12132,Korea Telecom
https://125.138.8.218:12133,125.138.8.218,12133,https,403 Forbidden,,KR,Seongnam,https://125.138.8.218:12133,Korea Telecom
https://121.174.127.86:12133,121.174.127.86,12133,https,403 Forbidden,,KR,Busan,https://121.174.127.86:12133,Korea Telecom
https://218.158.237.233:12133,218.158.237.233,12133,https,403 Forbidden,,KR,Seongnam,https://218.158.237.233:12133,Korea Telecom
220.116.71.64:12133,220.116.71.64,12133,http,,,KR,Seongnam,http://220.116.71.64:12133,Korea Telecom
https://183.102.18.225:50000,183.102.18.225,50000,https,403 Forbidden,,KR,Bucheon,https://183.102.18.225:50000,Korea Telecom
https://119.202.158.65:12132,119.202.158.65,12132,https,403 Forbidden,,KR,Seongnam,https://119.202.158.65:12132,Korea Telecom
https://175.204.136.250:50001,175.204.136.250,50001,https,403 Forbidden,,KR,Seongnam,https://175.204.136.250:50001,Korea Telecom
https://125.132.122.14:50001,125.132.122.14,50001,https,403 Forbidden,,KR,Seongnam,https://125.132.122.14:50001,Korea Telecom
https://220.124.190.236:12133,220.124.190.236,12133,https,403 Forbidden,,KR,Seoul,https://220.124.190.236:12133,Korea Telecom
https://183.105.79.16:10912,183.105.79.16,10912,https,403 Forbidden,,KR,Seongnam,https://183.105.79.16:10912,Korea Telecom
https://222.114.87.213:50000,222.114.87.213,50000,https,403 Forbidden,,KR,Seongnam,https://222.114.87.213:50000,Korea Telecom
https://119.199.56.210:50001,119.199.56.210,50001,https,403 Forbidden,,KR,Seongnam,https://119.199.56.210:50001,Korea Telecom
https://59.24.8.34:12131,59.24.8.34,12131,https,403 Forbidden,,KR,Seongnam,https://59.24.8.34:12131,Korea Telecom
https://222.105.5.151:50000,222.105.5.151,50000,https,403 Forbidden,,KR,Seongnam,https://222.105.5.151:50000,Korea Telecom
https://59.19.15.198:12132,59.19.15.198,12132,https,403 Forbidden,,KR,Changwon,https://59.19.15.198:12132,Korea Telecom
https://211.107.78.166:12132,211.107.78.166,12132,https,403 Forbidden,,KR,Seongnam,https://211.107.78.166:12132,Korea Telecom
https://121.132.40.71:12131,121.132.40.71,12131,https,403 Forbidden,,KR,Seongnam,https://121.132.40.71:12131,Korea Telecom
https://119.205.6.124:50001,119.205.6.124,50001,https,403 Forbidden,,KR,Seongnam,https://119.205.6.124:50001,Korea Telecom
222.103.238.40:12132,222.103.238.40,12132,http,,,KR,Mungyeong,http://222.103.238.40:12132,Korea Telecom
https://211.34.120.242:50001,211.34.120.242,50001,https,403 Forbidden,,KR,Seongnam,https://211.34.120.242:50001,Korea Telecom
https://211.227.75.196,211.227.75.196,443,https,403 Forbidden,,KR,Seongnam,https://211.227.75.196,Korea Telecom
